what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711702846645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711702846708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711702999992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711703015475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711703097890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711703630301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711703740313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711704516104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711704866166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711705030542
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildLastCommand",1711705235061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711705476105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711705508256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711705511496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711706197676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711706274211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711706604620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711706608424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711706971079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711707016063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711707324945
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711707337462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711707346486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711707357291
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711707358879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711707360877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711707364618
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711707372793
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711707373374
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711707375635
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711707376280
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711707379719
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1711707380002
