what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1715249075894
java.specification.name,sysinfo,,,"Java Platform API Specification",1715249075894
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1715249075894
java.specification.version,sysinfo,,,"1.6",1715249075894
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1715249075894
java.version,sysinfo,,,"1.6.0_23",1715249075894
java.vm.info,sysinfo,,,"mixed mode",1715249075894
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1715249075894
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1715249075894
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1715249075894
java.vm.specification.version,sysinfo,,,"1.0",1715249075894
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1715249075894
java.vm.version,sysinfo,,,"19.0-b09",1715249075894
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1715249076060
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1715249076068
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1715249080550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249116961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249117188
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715249122051
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1715249123362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249126705
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1715249127894
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1715249127900
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1715249127901
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1715249127901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249129354
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715249151607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1715249153286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1715249154628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249155974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249200256
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715249200287
error,log,,,"Error",1715249202958
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1715249203191
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.binaryEditor",1715249204289
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715249207533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249219816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249233459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249241360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249278691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249286484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249340055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249350809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249363182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249366010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249650253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249656978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249672629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249674922
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1715249709095
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1715249709097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249714272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249725771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249789131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249794846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249799982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1715249799999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249802165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249808068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249810204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249819251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249819602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249821534
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1715249821654
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715249821728
